Dealer Name,Address,Phone
Karya Zirang Utama Daihatsu Semarang Dr Cipto,"Jl. DR Cipto No. 154-156, Rejosari, Semarang Timur",024 3583961
Karya Zirang Utama Daihatsu Semarang Sudirman,"Jl. Jend Sudirman No. 182, Semarang",024 7601243
Armada Auto Tara Daihatsu KS Tubun,"Jl. Aipda KS Tubun No.97, Palmerah, Palmerah, Jakarta Pusat, DKI Jakarta, 11160",021 29501351
Astra Daihatsu Harmoni,"Jl. Balikpapan No. 8 , Petojo Utara, Gambir, Jakarta Pusat",021 63864386
Astra Daihatsu Jayakarta,"Jl. Pangeran Jayakarta No. 28, Mangga Dua Selatan, Sawah Besar, Jakarta Pusat",021 6590606
Astra Daihatsu Roxy,"Jl. Hasyim Ashari No. 42 , Roxy Jakarta Pusat",021 6314348
Astra Daihatsu Senen,Jl. Senen Raya No. 64 Jakarta Pusat,021 22345636
Tunas Daihatsu Pecenongan,"Jl. Pecenongan No. 80, Jakarta Pusat",021 3865011
Astra Daihatsu Yogyakarta Mataram,"Jl. Mataram No.72, Suryatmajan, Danurejan, Yogyakarta, D.I Yogyakarta, 55213",0274 587747
Astra Daihatsu Yogyakarta Sutoyo,"Jl. Mayjen Sutoyo No. 85, Mantrijeron, Yogyakarta",0274 377121
Asco Daihatsu Fatmawati,"Jl. RS. Fatmawati No. 45A, Jakarta Selatan",021 7660843
Asco Daihatsu Pasar Minggu,"Jl. Raya Pasar Minggu No. 8, Jakarta Selatan",021 7900643
Astra Daihatsu Arteri Pondok Indah,"Jl. Sultan Iskandar Muda No.15 Pondok Indah, Jakarta Selatan",021 6241010
Astra Daihatsu Palmerah,"JL. Kebayoran Lama No. 57, Jakarta Selatan",021 53670410
Astra Daihatsu Pondok Pinang,"Jl. Ciputat Raya No.22, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12310",021 7651644
Tunas Daihatsu Mampang,Jl . Mampang prapatan no 95 jakarta selatan,0
Tunas Daihatsu Tebet,"Jl. Prof. Dr. Supomo. SH, No. 31, Jakarta Selatan",0
Armada Auto Tara Daihatsu Kalimalang,"Jl. Inspeksi Saluran Kalimalang, Kav. Agraria No.15, Duren Sawit, Jakarta Timur",021 86610202
Asco Daihatsu Dewi Sartika,"Jl. Dewi Sartika No. 307, Jakarta Timur",021 8095355
Astra Daihatsu Kramat Jati,"Ruko Pasar Induk Kramat Jati Blok D2 No.14-15, Kramat Jati, Jakarta Timur",021 87788310
Astra Daihatsu Pemuda ,"Jl. Pemuda Ruko Grahamas Blok AA No. 8-9 Pemuda Raya, Jakarta Timur",0
Astrido Daihatsu Otista,"Jl. Otista Raya III No. 1A, Jakarta Timur",021 8515000
Tunas Daihatsu Matraman,"Jl. Matraman Raya No. 103-105, Jakarta Timur",021 8509694
Tunas Daihatsu Perintis Kemerdekaan,"Jl. Raya Perintis Kemerdekaan Kav.2 Pulo Gadung, Jakarta Timur",021 298 33327
Tunas Daihatsu Pondok Bambu,"Jl.Pahlawan Revolusi No. 5, Pondok Bambu, Jakarta Timur",021 8615165
Armada Auto Tara Daihatsu Sawah Besar,"Jl. Sukardjo Wiryopranoto No. 73, Sawah Besar, Jakarta Pusat",021 6241010
Astrido Daihatsu Daan Mogot,"Jl. Daan Mogot No.234, Wijaya Kusuma, Grogol Petamburan, Jakarta Barat, DKI Jakarta, 11460",021 5645000
Astrido Daihatsu Kamal,"Jl. Lingkar Luar Barat No. 1 RT 012/011, Cengkareng Timur, Jakarta Barat",021 55955000
Astrido Daihatsu Kebon Jeruk,"Jl. Raya Perjuangan No. 22, Jakarta Barat",021 5345000
Astrido Daihatsu Kunir,"Jl. Kunir No. 23A, Jakarta Barat",021 6915000
Daya Adicipta Wihaya Daihatsu Puri Kembangan,"Jalan Puri Indah Raya, RT 1/RW 2 Ruko Sentra Niaga Puri Indah, Blok T1/1 (Seberang Prodia) Kembangan Selatan, Jakarta Barat",(021) 2258 7247
Asco Daihatsu Tanjung Priok,"Jl. Keramat Jaya Raya Blok F No. 14 A-B, Jakarta Utara",021 4403900
Astra Daihatsu Kelapa Gading,"Jl. Pegangsaan Indah Barat RT 21 RW 16, Pegangsaan Dua, Kelapa Gading, Jakarta Utara",021 29832010
Astra Daihatsu Pluit,"Jl. Raya Pluit Selatan No. 4, Jakarta Utara",021 6690755
Astra Daihatsu Sunter,"Jl. Laksda Yos Sudarso Kav. 24 Sunter II, Jakarta Utara",021 6511401
Tunas Daihatsu Bandengan,"Jl. Bandengan Utara No. 40-40 A, Jakarta Utara",021 6606162
Astra Daihatsu Banda Aceh,"Jl. DR Muhammad Hasan No. 1-2-3A, Batoh, Banda Aceh",0651 32151
Capella Daihatsu Aceh,"Jl. Soekarno Hatta, Banda Aceh",0651 45678
Astra Daihatsu Cibinong,"Jl. Raya Bogor - Jakarta Km 43, Cibinong",021 8757870
Tri Mandiri Selaras Daihatsu Cileungsi,"Jl. Alternatif Cibubur Cileungsi KM 1 No. 1-2 RT 03 RW 02, Cileungsi, Bogor",0251 82480868
Astra Daihatsu Sukabumi,"Jl. Raya KH.A.Sanusi 40A Ciseureuh, KP Ciseureuh RT/RW 01/02, Sukakarya, Sukabumi",0266 243374
Astra Daihatsu Cianjur,"Jl. Raya Bandung Cianjur No. 104,Kp. Sadewata, RT.02/03, Desa Bojong, Cianjur",0263 260612
Kharisma Siliwangi Daihatsu Bandung (Kopo),"Jl. Kopo Bihbul No. 11-13, RT 02/01, Desa Margahayu Tengah, Kec.Margahayu, Bandung",022 5421000
Tunas Daihatsu Garut,"Jl. Otto Iskandardinata No. 181, Kel.Tarogong, Kec.Tarogong Kidul, Kab.Garut, Jawa Barat 44151",0262 2248000
Astra Daihatsu Tasikmalaya,Jl. HZ. Mustofa No. 349 Tasikmalaya,0265 7525697
Astra Daihatsu Cirebon Tuparev,"Jl. Tuparev No. 76, Cirebon",0231 206691
Astrido Daihatsu Rejeki Cirebon,"Jl. Raya Tegal Wangi No. 88, Panembahan, Cirebon",0231 8330888
Astrido Daihatsu Rejeki Rancaekek,"Jl. Raya Bandung-Garut Km 19, No.19, Cileunyi, Kab.Bandung",022 7795577
Astra Daihatsu Indramayu,"Jl. D.I. Panjaitan No. 58A, Indramayu",0234 275293
Astra Daihatsu Purwakarta,"Jl. Martadinata No. 39, Purwakarta",0264 7000789
Astra Daihatsu Karawang Barat,"Jl. Galuh Mas Raya Kav CBD Blok 5 No. D1, Sukaharja, Telukjambe Timur, Kabupaten Karawang, Jawa Barat 41361",0267 8636363
Astra Daihatsu Bekasi Cikarang,"Jl. MH Thamrin Kav 160, Kec. Cikarang Selatan, Kab. Bekasi",021 89916488
Astrido Daihatsu Bekasi Cikarang,"Komplek Cikarang Square Jl. Boulevard Cikarang Square No. 1 Pasir Sari, Cikarang Selatan, Bekasi 17530",021 8974508
Astra Daihatsu Bogor Pajajaran,"Jl. Pajajaran No. 22, Bogor",0251 8325737
Astra Daihatsu Bogor Tajur,"Jl. Raya Tajur No. 255 , Bogor",0251 391087
Astra Daihatsu Bogor Yasmin,"Jl. KH Abdullah Bin Nuh No. 16, Taman Yasmin, Bogor",0251 754 1000
Asco Daihatsu Bekasi,"Jl. Pangeran Diponegoro No. 49, Bekasi Timur",021 8804949
Astra Daihatsu Bekasi Narogong,"Jl. Siliwangi No. 180-181 A,Sepanjang Jaya,Rawalumbu,Bekasi,Jawa Barat,17114",021 82435252
Astra Daihatsu Bekasi Sudirman,"Jl. Jend. Sudirman KM 32, Bekasi Barat",021 88951955
Astra Daihatsu Harapan Indah,"Kawasan Kota Harapan Indah, Jl. Boulevard Raya kav commercial park I, No. 9C, Kel Medan Satria, Kota Bekasi",021 29566699
Tunas Daihatsu Pondok Gede,"Jl. Raya Jatimakmur No. 9, Kel.Jatiwaringin, Kec.Pondok Gede, Bekasi 17411",021 84998000
Armada Auto Tara Daihatsu Depok,"Jl. Margonda Raya No.12A, Kemiri Muka, Beji, Depok, Jawa Barat, 16423",021 7774577
Astra Daihatsu Cibubur,"Jl. Raya Alternatif Cibubur Km 1, Harjamukti, Cimanggis, Depok",021 84599678
Tunas Daihatsu Cinere,"Jl. Cinere Raya Blok A No. 1B-1C Cinere, Depok",021 7530022
Astra Daihatsu Cimahi,"Jl.Raya Barat No. 538, Cimahi",022 6647173
Capella Daihatsu Rantau Prapat,"Jl. A. Yani No. 84-86 , Rantau Prapat",0624 24827
Capella Daihatsu  Kisaran,"Jl. Imam Bonjol No. 303 C-D, Kisaran",0623 348132
Daya Adicipta Wihaya Daihatsu Langkat,"Jl. KH. Zainul Arifin No. 100,Stabat Baru,Stabat,Langkat,Sumatera Utara,20811",061 80048000
Capella Daihatsu Pematang Siantar,"Jl. Medan Km 6 Simpang Karangsari, Pematang Siantar",0622 23711
Capella Daihatsu Tebing Tinggi,"Kompleks Sudirman Business Centre No. A5, Jl. Jend. Sudirman, Kel.Sri Padang, Kec.Rambutan, Kota Tebing Tinggi",0621 328400
Astra Daihatsu Medan Johor,"Jl.A.H. Nasution, Kel. Pangkalan Masyhur, Kec. Medan Johor, Kota Medan",061 7876767
Astra Daihatsu Medan Krakatau,"Jl. Gunung Krakatau Ujung No.238, Tanjung Mulia, Medan Deli, Medan",061 6639009
Astra Daihatsu Medan Sisingamangaraja,"Jl. Sisingamangaraja No. 170, Medan",061 7349000
Capella Daihatsu Gatot Subroto 1,"Jl. Jend Gatot Subroto No. 71 BCDEF, Medan",061 4524322
Capella Daihatsu Gatot Subroto 2,"Jl. Jend Gatot Subroto No. 159, Medan",061 8467228
Daya Adicipta Wihaya Daihatsu Medan,"Jalan Ngumban Surbakti No. 8 Kel. Sempakata, Kec. Medan Selayang, Kota Medan",061 80048800
Capella Daihatsu PadangsidImpuan,"Jl. Raja Inal Siregar Km. 5 Padangsidempuan, Sumatera Utara","0634 7366709, 7366708"
Astra Daihatsu Padang,"Jl. Khatib Sulaiman No. 101, Padang",0751 7050399
Capella Daihatsu  Padang,"Jl. Prof. Dr. Hamka, No. 123, Padang",0751 7051777
Capella Daihatsu Duri,"Jl. Raya Duri Dumai Km 3.5 Depan Gate 125 DSF, Duri",0765 92878
Astra Daihatsu Pekanbaru Panam,"Jl. HR Subrantas No. 23 Km 12, Tampan, Pekanbaru",0761 589788
Astra Daihatsu Pekanbaru Sudirman,"Jl. Jend Sudirman No.202A, Tangkerang, Pekanbaru",0761 839000
Capella Daihatsu  Pekanbaru Arengka,"Jl. Arengka No. 53, Pekanbaru",0761 571900
Capella Daihatsu  Pekanbaru Sudirman,"Jl. Jend. Sudirman No. 414-418, Pekanbaru",0761 23686
Astra Daihatsu Jambi,"Jl. Pangeran Hidayat No.88 ABC, Kel.Paal Lima, Kec.Kota Baru, Kota Jambi",0741 42218
Surya Sentosa Daihatsu Jambi,"Jl. Kol. Abun Jani No. 9, Jambi 36129",0741 670055
Tunas Daihatsu Musi Banyuasin,"Jl. Kolonel Wahid Udin, RT 006/RW 006, Kayuara,Sekayu,Kab. Musi Banyuasin,30711",0
Astra Daihatsu Palembang Plaju,"Jl. Jend. A. Yani N0. 100-14, Ulu Plaju, Palembang",0711 511889
Astra Daihatsu Palembang Veteran,"Jl. Veteran No. 175 ABC , Palembang",0711 350098
Encar Daihatsu Palembang,"Jl. Angkatan 45 No.2 RT 07 RW 02 Kel.Demang Lebar Daun,Kec.Ilir Barat I, Palembang",0711 374000
Tunas Daihatsu Palembang,"Jl. Kolonel H. Burlian Km 8.5 RT 033 RW 010, Kel.Sukarami, Kec.Sukarami, Palembang 30151",0711 415622
Astra Daihatsu Prabumulih,Jl. Jend. Sudirman No. 12 Prabumulih,0713 322649
Tunas Daihatsu Bengkulu,"Jl. Pangeran Natadirja Km 7.5, Kel.Jalan Gedang, Kec.Gading Cempaka, Bengkulu",0736 24286
Tunas Daihatsu Lampung,"Jl. Raya Hajimena No. 999 Dusun II Way Layap RT.01, Desa Hajimena, Natar, Lampung Selatan 35362",0721 91509
Astra Daihatsu Bandar Jaya,"Jl. Proklamator Raya No. 81D, Bandarjaya, Lampung Tengah",0725 26222
Astra Daihatsu Lampung A Yani,"Jl. A. Yani No. 1, Tanjung karang, Bandar Lampung",0721 269000
Astra Daihatsu Lampung Soekarno Hatta,"Jl. Soekarno Hatta No.40 A, RT 004 RW 02, Kalibalau Kencana, Kec. Kedamaian, Bandar Lampung",0721 269000
Tri Mandiri Selaras Daihatsu Bangka,"Jl. Raya Koba Km 6 No. 167 RT 017 RW 006, Kel.Kampung Dul, Kec.Pangkalan Baru, Kab.Bangka Tengah, Bangka",0717 436968
Astra Daihatsu Batam,"Jl. Yos Sudarso, Baloi Indah, Lubuk Baja, Batam",0788 8099000
Armada International Motor Daihatsu Cilacap,"Jl. Perintis Kemerdekaan no. 33A, RT.05/01, Kel.Kebonmanis, Kec.Cilacap Utara, Cilacap",0282 549050
Armada International Motor Daihatsu Purwokerto,"Jl. Gerilya Timur No.28, Berkoh, Purwokerto Selatan, Kab.Banyumas, Jawa Tengah, 53146",0281 625111
Astra Daihatsu Kebumen,"Jl. HM Sarbini, Woyoso Kebumen, Kec. Karangsari, Kab. Kebumen",0274 5502022
Armada International Motor Daihatsu Wonosobo,"Jl. Jend. Ahmad Yani No.21A, Jaraksari, Wonosobo, Kab.Wonosobo, Jawa Tengah, 56314",0286 321990
Armada International Motor Daihatsu Magelang,"Jl. Soekarno Hatta, Tidar, Magelang Selatan, Magelang 56125",0293 3276898
Astra Daihatsu Klaten,"Jl. Raya Solo – Yogyakarta Km.4, Belangwetan, Klaten, Jawa Tengah",0272 332255
Astra Daihatsu Solo Baru,"Jl. Ir. Soekarno, Madegondo, Grogol, Kab. Sukoharjo, Jawa Tengah, 57552",0271 620977
Sejahtera Zirang Utama Daihatsu Sukoharjo,-,0
Mandiri Zirang Utama Daihatsu Bantul,"Jl. Ring Road Selatan No.111 Ruko Paris Square Kav. 1A-2A Sewon, Bantul, Yogyakarta",0274 315 7090
Astra Daihatsu Sleman Maguwo,"Jl Pajajaran (Ring Road Utara), Maguwoharjo, Depok, Kab. Sleman",0274 489797
Astra Daihatsu Yogyakarta Magelang,"Jl. Magelang Km 7.2, Sendangadi, Mlati, Kab.Sleman, D.I Yogyakarta, 55285",0274 868075
Astra Daihatsu Kediri,"Jl. Soekarno Hatta No. 152, Kediri",0354 684412
Asco Daihatsu Lumajang,"Jl. Soekarno Hatta No. 12, Lumajang,Selokbesuki,Sukodono,Kab. Lumajang,Jawa Timur,67351",0334 8797777
Asco Daihatsu Jember,"Jl. Hayam Wuruk No. 161, Jember",0331 428666
Asco Daihatsu Banyuwangi,"Jl. S. Parman No. 74 Krajan, Banyuwangi",0333 419000
Karunia Daihatsu Banyuwangi,"Jl. Raya Petung No.43, Kedaleman, Rogojampi, Kab.Banyuwangi, Jawa Timur, 68462",0333 6370575
Kharisma Sejahtera Daihatsu Situbondo,"Jl. Panglima Sudirman No.9, Patokan, Situbondo, Kab.Situbondo, Jawa Timur, 68312",0338 4592222
Astra Daihatsu Sidoarjo Trosobo,"Jl. Raya Trosobo km22, Taman, Sidoarjo",0
Astra Daihatsu Surabaya Waru,"Jl. Raya Waru Km 15, Sawotratap, Surabaya",031 8533777
Astra Daihatsu Mojokerto,"Jl. Jayanegara No. 30-D, Puri, Mojokerto",0321 330190
Kharisma Sejahtera Daihatsu Bojonegoro,"Jl. Veteran, Kel.Ngrowo, Kec.Bojonegoro, Kab.Bojonegoro, Jawa Timur",0353  3410123
Kharisma Sejahtera Daihatsu Lamongan,"Jl. Jaksa Agung Suprapto No. 44, Lamongan",0322 321234
Astra Daihatsu Gresik,"Jl. Veteran no 100 D,Segoromadu,Kebomas,Kab. Gresik,Jawa Timur,61122",031 3991500
Karunia Daihatsu Pamekasan,"Jl. Jokotole No. 53, Pamekasan",0324 334777
Astra Daihatsu Blitar,"Jl. Bali No.50 RT 02 RW 05 Kel.Karangtengah Kec.Sananwetan, Kota Blitar, Jawa Timur",0342 805999
Astra Daihatsu Pasuruan,"Jl. Veteran No. 9, Ruko Blok M. 10-11, Pasuruan",0343 429000
Astra Daihatsu Madiun,"Jl. Mastrip No. 12-14, Madiun",0351 474999
Jolo Indah Daihatsu Madiun,"Jl. Cokroaminoto No. 96, Madiun",0
Pradhana Raya Mobilindo Daihatsu Pandeglang,"Jl. Raya Serang KM.3 , Cigadung, Karang Tanjung, Kab.Pandeglang, Banten, 42251",0253 5555984
Tunas Daihatsu Lebak,"Jl. A. Yani Neglasari rt.09 rw.06 kel.kaduagung timur kec.cibadak kab.lebak, Rangkasbitung, Banten 42317",0252 5551300
Asco Daihatsu Teluk Naga,Ruko Airport City Blok A2-C Jl Raya Kampung Melayu Teluk Naga,021 54231157
Astra Daihatsu BSD ABC,"Kav.Commercial Park Barat, BSD City, Lot.1 No.11, Sektor B",021 5380011
Pradhana Raya Mobilindo Daihatsu Serpong,"Ruko Boulevard Tekno Blok B No. 19 – 20, Serpong",021 29313345
Tri Mandiri Selaras Daihatsu Gading Serpong,"Ruko Paramount Glaze III, Jl.Raya Curug Sangereng Blok A No. 1-2, Kel.Kelapa Dua, Gading Serpong, Tangerang",021 29009535
Tunas Daihatsu Balaraja,"Jl. Raya Serang Km.21,Pergudangan Cibadak Indah No.08,RT.017/RW.003,Balaraja,Balaraja,Kab. Tangerang,Banten,15610",021 25620008
Armada Auto Tara Daihatsu Cikokol,"Jl. MH Thamrin No. 9, Cikokol, Tangerang",021  55781717
Astra Daihatsu Ciledug,"Jl. HOS Cokroaminoto No. 69, Kreo, Ciledug, Tangerang",021 7300194
Astra Daihatsu Karawaci,"Jl. Otista Raya No.21, Gerendeng, Karawaci, Tangerang, Banten, 15113",021 55739000
Karya Zirang Utama Daihatsu Cengkareng,"Jl. Husein Sastranegara No.188 Jurumudi, Benda, Tangerang-15125",021 29430896
Tunas Daihatsu Tangerang,"Jl. Raya Daan Mogot Km.23 No. 88, Tanah Tinggi, Tangerang.",021 5580343
Astrido Daihatsu Serang,"Jl. Lingkar Selatan KM 1 No.88, Harjatani, Kramatwatu, Kab.Serang, Banten, 42161",0254 7810500
Tunas Daihatsu Cilegon,"Jl. Raya Serang No 17 Kadipaten ( Depan PCI) Cilegon, Banten",0254 380502
Astra Daihatsu Serang,"Jl. Jend Sudirman No. 45 RT 01 RW 01 Link Penancangan, Serang, Banten 42124",0254 221522
Astra Daihatsu Bintaro,"Jl. Jend. Sudirman KAV CBD A1 No. 9-10, Pondok Jaya, Pondok Aren, Tangerang Selatan, Banten, 15224",021 74861326
Astra Daihatsu Pamulang,"Jl. Raya Siliwangi No.2 RT 002 RW 002 Kel.Pondok Benda Kec.Pamulang, Tangerang Selatan-14516",021 27598298
Astra Daihatsu Pondok Cabe,"Jl. Raya Pondok Cabe Blok CA, Pondok Cabe Ilir, Pamulang, Tangerang selatan",021 74708028
Astrido Daihatsu Serpong,"Jl. Raya Serpong Sutera Niaga IV No.1 Pakulonan, Serpong,Tangerang Selatan 15325",021 53212500
Prima Parama Mobilindo Daihatsu Ciputat,"JL. R.E. Martadinata No. 3 Ciputat, Tangerang Selatan",021 7444032
Astra Daihatsu Tabanan,"Jl. Bypass Ir. Soekarno Kel. Daun Peken Kec. Tabanan, Kota Bali",0361-7995000
Astra Daihatsu Badung Ngurah Rai,"Jl. By Pass Ngurah Rai No.99X, Kel.Kelan, Kec.Kuta, Kab.Badung, Bali-80361",0361 4463000
Astra Daihatsu Gianyar,"Jl. Udayana No.260, Buruan, Blahbatuh, Kabupaten Gianyar, Bali 80581",0361 4794000
Astra Daihatsu Singaraja,"Jl. Achmad Yani no. 93BC, Desa Baktiseraga, Kec.Buleleng, Kab. Buleleng, Singaraja",0362-3304000
Astra Daihatsu Denpasar Cokro,"Jl. Cokroaminoto No. 52, Ubung, Denpasar",0361 429000
Astra Daihatsu Denpasar Sanur,"Jl. Ngurah Rai By Pass No. 8, Sanur, Denpasar",0361 289000
Kharisma Sentosa Daihatsu Denpasar Hayam Wuruk,"Jl. Hayam Wuruk No. 232 Blok C-D, Denpasar",0361 235765
Kharisma Sentosa Daihatsu Denpasar Teuku Umar,"Jl. Teuku Umar Barat No. 99, Denpasar",0361 481999
Prima Parama Mobilindo Daihatsu Pancor,"JL. TGH Zaenudin Abdul Majid No. 7 Pancor, Selong, Lombok Timur -NTB",0376-23015
Prima Parama Mobilindo Daihatsu Sumbawa Besar,"Jl. Hasanuddin No. 38, Sumbawa Besar","0371, 625388"
Prima Parama Mobilindo Daihatsu Cakranegara,"Jl. A.A. Gde Ngurah No. 68-70-72, Lombok Barat",0370 622337
Prima Parama Mobilindo Daihatsu Mataram Bertais,"Jl. Raya Sandubaya No. 688, Bertais, Mataram, Lombok",0370 671000
Prima Parama Mobilindo Daihatsu Kupang,"Jl. Timor Raya No.154, Kelapa Lima, Kupang",0380 832272
Astra Daihatsu Gorontalo,"Jl. HB Jassin Km.4, Tomulabutao, Dungingi, Gorontalo, Sulawesi Utara",0435 827934
Jujur Jaya Sakti Daihatsu Mamuju,"Jl. Diponegoro, Kompleks Ruko Ps. Regional Blok C1/C2, Mamuju",0426 21599
Tri Mandiri Selaras Daihatsu Sintang,"Jl. Lintas Melawi RT 05 / RW 02, Kel.Ladang, Sintang, Kalimantan Barat",0565 2705757
Astra Daihatsu Pontianak Kubu Raya,"Jl. Arteri Supadio, Kubu Raya, Kalimantan Barat",0561 8110088
Astra Daihatsu Pontianak Imam Bonjol,"Jl. Imam Bonjol No. 529, Pontianak",0561 748260
Tri Mandiri Sejati Daihatsu Sampit,"Jl. H.M Arsyad No.10 ,Mentawa Baru Hilir,Mentawa Baru/Ketapan,Kotawaringin Timur,Kalimantan Tengah,74321",0531 34991
Tri Mandiri Sejati Daihatsu Palangkaraya,"Jl. Tjilik Riwut Km 7.8 No. 68, Bukit Tunggal, Pahandut, Palangkaraya 73112, Kalimantan Tengah",0536 3231937
Astra Daihatsu Banjarmasin,"Jl. Achmad Yani KM 7.4, Banjarmasin",0511 4281900
Tri Mandiri Selaras Daihatsu Martapura,"Jl. A. Yani KM.39, RT.06/RW.08, Jawa, Martapura, Kab.Banjar, Kalimantan Selatan, 70614",0
Nusantara Indah Daihatsu Banjarmasin,"Jl. A. Yani Km 4 No. 323, Banjarmasin",0511 3264500
Tri Mandiri Selaras Daihatsu Banjarmasin,"Jl. Brigjen H. Hasan Basri Kayu Tangi No. 08, RT 042,Sungai Miai, Kutai Negara, Banjarmasin Utara, Banjarmasin",0511 330 6259
Astra Daihatsu Banjarbaru,"Jl. A.Yani KM 36,5 RT 15 No. 7 ,Simpang 4, Banjarbaru,Kalimantan Selatan",0511 4782981
Astra Daihatsu Tenggarong,Jl. K.H.Ahmad Mukhsin No.70 Tenggarong,0541 664281
Astra Daihatsu Sangatta,"Jl. Yos Sudarso 2 No. 72, Sangatta",0549 21467
Astra Daihatsu Penajam,"Jl. Raya Propinsi KM.17, Petung, Penajam, Kab.Penajam Paser Utara, Kalimantan Timur, 76144",0542 8544449
Astra Daihatsu Balikpapan,"Jl. Jend Sudirman No. 57, Balikpapan",0542 419000
Serba Mulia Auto Daihatsu Balikpapan,"Jl. Mayjend Sutoyo No. 9, Balikpapan",0542 734786
Astra Daihatsu Samarinda,"Jl. Ir.H.Juanda No. 88, Samarinda",0541 766688
Serba Mulia Auto Daihatsu Samarinda,"Jl. PM Noor No.8, Sempaja Selatan, Samarinda",0541 743865
Tri Mandiri Selaras Daihatsu Samarinda,"Jl. Jend. Ahmad Yani No. 9 RT. 18, Temindung Permai, Samarinda Utara, Kalimantan Timur",0541 734865
Tri Mandiri Selaras Daihatsu Tarakan,"Jl. Yos Sudarso No. 9 RT 05 Kel.Lingkas Ujung , Kota Tarakan, Kalimantan Utara",0551 23444
Kharisma Sentosa Daihatsu Ambon,"Jl. Laksda Leo Watimena RT 28/ RW 06 Desa Passo, Kec Baguala, Kota Ambon",0911 3682299
Serba Mulia Auto Daihatsu Sorong,"Jl. Basuki Rahmat , Klasabi, Sorong Manoi, Sorong, Papua Barat, 98412",0951 329025
Astra Daihatsu Jayapura,"Jl. Ardipura RT 001 RW 004 Kel. Ardipura, Kec. Jayapura Selatan",0
Serba Mulia Auto Daihatsu Jayapura,"Jl. Klp. 2 No.18, Entrop, Jayapura Selatan, Jayapura, Papua, 99223",0967 531326
Astra Daihatsu Manado Malalayang,"Jl. Wolter Monginsidi No. 123B, Kel. Malalayang I Barat. Manado",0431 847337
Astra Daihatsu Manado Martadinata,"Jl. R.E.Martadinata No.69, Manado-95127",0431 866602
Kharisma Sentosa Daihatsu Manado,"Jl. Sam Ratulangi No. 422 Ruko 16-18, Kel.Ranotana, Kec.Sario, Manado",0431 828399
Astra Daihatsu Pekalongan,Jl. Jendral Sudirman 145-147 Kel Sapuro Kec Kebulen Pekalongan Barat,0285 431222
Astra Daihatsu Tegal,"Jl. Kol. Sugiono No. 103, Pekauman, Tegal Barat, Kota Tegal, Jawa Tengah, 52113",0283 359677
Mandiri Zirang Utama Daihatsu Sragen,"Jl. Raya Timur KM.4, Pilangsari, Ngrampal, Kab.Sragen, Jawa Tengah, 57252",0271 891574
