City ID,Type,Name,Address,Phone,Group Name,City Name
8,Dealer,Wuling Cikarang,"Jl. Sriwijaya No. 20 Lippo Cikarang, Desa Batu, Kec. Cikarang Selatan, Kab. Bekasi, Jawa Barat, 17530",(021) 89915555,Arista Cikarang,Bekasi
8,Dealer,Wuling Cikarang Barat,"Jl. Raya Imam Bonjol No. 10, Telaga Murni, Kec. Cikarang Barat, Kab Bekasi, Jawa Barat 17530",-,Maju Motor Cikarang Barat,Bekasi
12,Dealer,Wuling Cikokol,"Jl. M.H. Thamrin No. 75, Kel. Cikokol, Kec. Tangerang, Kota Tangerang - Banten 15143",(021) 22292222,Arista Cikokol,Tangerang
12,Dealer,Wuling Cikupa,"Auto Center Citra Raya, Block V 06 A / 02-03, Citra Raya, Kabupaten Tangerang, Banten 15710",(021) 59643465,Prima Cikupa,Tangerang
12,Dealer,Wuling Ciledug,"Jl. HOS Cokroaminoto, RT.001/RW.005, Sudimara Timur, Ciledug, Kota Tangerang, Banten 15113",-,Arista Ciledug,Tangerang
94,Dealer,Wuling Cilegon,"Jl. Jend. Ahmad Yani No. 12, Kel. Cibeber, Kec. Cibeber, Kab. Cilegon, Banten 42166",(0254) 7871111,Arista Cilegon,Cilegon
107,Dealer,Wuling Cimahi,"Jl. Raya Gadobangkong  No. 4 Kec. Ngamprah, Kota Cimahi, Jawa Barat 40552",(022) 20665555,Arista Cimahi,Cimahi
12,Dealer,Wuling Cimone,"Jl. Gatot Subroto Km.3 Cimone, Karawaci, Kota Tangerang, Banten 15114",(021) 55722222,Arista Cimone,Tangerang
23,Dealer,Wuling Ciputat,"Jl. RE Martadinata No.12, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411",(021) 7411191,Maju Motor Ciputat,South Tangerang
11,Dealer,Wuling Cirebon,"Jl. Raya Plumbon No. 9, Plumbon, Cirebon, Jawa Barat 45155",(0231) 8292555,Arista Cirebon,Cirebon
12,Dealer,Wuling Daan Mogot,"Jl. Daan Mogot Km. 21, Batuceper, Poris Plawad, Kec. Tangerang, Kota Tangerang, Banten 11112",(021) 55738187,Prima Daan Mogot,Tangerang
50,Dealer,Wuling Denpasar Teuku Umar,"Jl. Teuku Umar Barat 150T, Padang Sambian Kelod, Denpasar, Bali 80113",(0361) 8466634 / 8466635,Kumala Denpasar Teuku Umar,Denpasar
50,Dealer,Wuling Denpasar Timur,"Jl. Gatot Subroto Timur No.210-A, Tonja, Denpasar Timur, Denpasar, Bali 80234",(0361) 462922 / 463646,Maju Motor Denpasar Timur,Denpasar
9,Dealer,Wuling Depok,"Jl. RA Kartini No. 46, Kota Depok, Jawa Barat 16431",(021) 77803888,Arista Depok,Depok
100,Dealer,Wuling Duri,"Jl. Hang Tuah No. 7-8, Kel Duri Barat, Kec Mandau, Kab Bengkalis, Riau 28850",(0765) 5632711,Arista Duri,Duri
65,Dealer,Wuling Experience Center Pondok Indah,"Jl. Sultan Iskandar Muda No.9, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, DKI Jakarta 12310",(021) 27096888,Kumala Experience Center Pondok Indah,South Jakarta
65,Dealer,Wuling Fatmawati,"Jl. RS. Fatmawati No. 45 A-E RT.002/RW.005, Cipete Selatan, Cilandak, Kota Jakarta Selatan 12411",(021) 7503597,Prima Fatmawati,South Jakarta
23,Dealer,Wuling Gading Serpong,"Jl. Boulevard Gading Serpong Blok S No. 15, Sumarecon Gading Serpong, Tangerang Selatan, Banten 15810",(021)22228555,Arista Gading Serpong,South Tangerang
5,Dealer,Wuling Garuda,"Jl. Garuda No. 74, Kemayoran, Jakarta Pusat 10620",(021) 21475000,Arista Garuda,Central Jakarta
29,Dealer,Wuling Garut,"Ruko Otista Pratama, Jl. Otista No. 4B Blok Pasawahan, RT 1, RW 2, Kel. Tanah Ujung, Kec. Tarogong Kaler, Kab. Garut, Jawa Barat 44177",(0262) 2801111,Arista Garut,Garut
95,Dealer,Wuling Gianyar,"Jl. By Pass Dharma Giri No.99x, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581",(0361) 4797617,Kumala Gianyar,Gianyar
54,Dealer,Wuling Gorontalo,"Jl. H. Nani Wartabone, Gorontalo 96134",(0435) 8537260,Kumala Gorontalo,Gorontalo
96,Dealer,Wuling Gowa,"Jl. Sultan Hasanuddin No.31B, Pandang Pandang, Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92114",(0411) 866308,Kumala Gowa,Gowa
59,Dealer,Wuling Gresik,"Jl. R.A. Kartini No.128, Injen Barat, Tlogobendung, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61122",(031) 39927772,Prima Gresik,Gresik
5,Dealer,Wuling Harmoni,"Jl. Balikpapan No.11, RT 08/RW 06, Petojo Selatan, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-,Prima Harmoni,Central Jakarta
15,Dealer,Wuling HR Muhammad,"Jl. H.R. Muhammad No. 132, Surabaya, Pradah Kalikendal, Dukuh Pakis, Surabaya, Jawa Timur 60226",(031) 7393789,Arista HR Muhammad,Surabaya
12,Dealer,Wuling Imam Bonjol,"Jl. Imam Bonjol No. 10,Panunggangan Barat, Cibodas, Kota Tangerang, Banten 15138",(021) 816355008,Maju Motor Imam Bonjol,Tangerang
99,Dealer,Wuling Indramayu,"Jl. By Pass Pantura No. 58, Blok Ampel, Desa Bangkaloa Ilir, Kec. Widasari, Kab. Indramayu, Jawa Barat 45271",(0234) 7141111,Arista Indramayu,Indramayu
65,Dealer,Wuling Jagakarsa,"Jl. Raya Lenteng Agung No. 8 RT 3/RW 1, Lenteng Agung, Jagakarsa, Jakarta Selatan, DKI Jakarta 12610",-,WAS Jagakarsa,South Jakarta
69,Dealer,Wuling Jambi,"Jl. Pangeran Hidayat Paal, Jambi 36127",(0741) 3604024,Maju Motor Jambi,Jambi
26,Dealer,Wuling Jember,"Jl. Hayam Wuruk No. 207, Mangli, Kaliwates, Jember, Jawa Timur 68135",(0331) 4430909,Arista Jember,Jember
15,Dealer,Wuling Jemursari,"Jl. Jemursari No. 1, Jemur Wonosari, Wonocolo, Surabaya, Jawa Timur 60237",(031) 99848888,Arista Jemursari,Surabaya
103,Dealer,Wuling Jombang,"Jl. Soekarno-Hatta No.2, Jombang, Jawa Timur 61413",(0321) 878282,Perdana Jombang,Jombang
10,Dealer,Wuling Kalimalang,"Jl. Raya Kalimalang No. 20A, Duren Sawit, Jakarta Timur 13440",(021) 21385888,Arista Kalimalang,East Jakarta
30,Dealer,Wuling Karawang,"Jl. Tuparev No. 437 RT/04 RW/04, Kel. Karawang Wetan, Kec. Karawang Timur, Jawa Barat 41314",(0267) 8401222,Arista Karawang,Karawang
27,Dealer,Wuling Kebon Jeruk,"Jl. Panjang No. 46, RT.006/RW.001, Kedoya Selatan, Kec. Kebon Jeruk, Jakarta Barat, DKI Jakarta 11520",-,Prima Kebon Jeruk,West Jakarta
61,Dealer,Wuling Kediri,"Jl. Urip Sumoharjo No.397C, Ngronggo, Kec. Kota Kediri, Kota Kediri, Jawa Timur 64129",-,Perdana Kediri,Kediri
17,Dealer,Wuling Kelapa Gading,"Jl. Kelapa Gading Boulevard Blok DG No. 1, Kelapa Gading, RT 4 / RW 17, Jakarta Utara 14240",(021) 22458888,Arista Kelapa Gading,North Jakarta
106,Dealer,Wuling Kendal,"Jl. Raya Soekarno-Hatta No.21, Bugangin, Kec. Kendal, Kabupaten Kendal, Jawa Tengah 51314",(024) 86570727,AJM Kendal,Kendal
46,Dealer,Wuling Kendari,"Jl. Ahmad Yani No. 85A, Kendari, Sulawesi Tenggara 93116",(0401) 3191419,Kumala Kendari,Kendari
15,Dealer,Wuling Kenjeran,"Jl. Raya Kenjeran No.619, Dukuh Sutorejo, Kec. Mulyorejo, Kota Surabaya, Jawa Timur 60113",(031) 99927090,Perdana Kenjeran,Surabaya
49,Dealer,Wuling Kolaka,"Jl. Pahlawan No. 28 Kel. Wataliandu, Kec. Kolaka, Kab. Kolaka, Sulawesi Tenggara 93511",(0405) 2326868,Kumala Kolaka,Kolaka
111,Dealer,Wuling Kotamobagu,"Jl. Adampe Dolot Linkg. II, No. 71-71, RT. 006/RW. 003, Kel. Mogolaing, Kec. Kotamobagu Barat, Kotamobagu, Sulawesi Utara 95716",(0434) 2631010,Kumala Kotamobagu,Kotamobagu
10,Dealer,Wuling Kramat Jati,"Jl. Raya Bogor No.115, RT.10/RW.10, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, DKI Jakarta 13830",-,Arista Kramat Jati,East Jakarta
43,Dealer,Wuling Kudus,"Jl. Lingkar Timur No. 78, Dosaran, Loram Wetan, Jati, Kab. Kudus, Jawa Tengah 59344",(0291) 4245488,AJM Kudus,Kudus
66,Dealer,Wuling Kupang,"Jl. Timor Raya No.160 A-C Kelapa Lima, Kupang, NTT 85228",(0380) 8444029,Prima Kupang,Kupang
4,Dealer,Wuling Lampung,"Jl. ZA Pagar Alam No. 99 A, Rajabasa, Bandar Lampung, Lampung 35142",(0721) 8050088,Arista Lampung,Lampung
7,Dealer,Wuling Lebakwangi,"Jl. Raya Parung Kp. Lebakwangi No.35, Pemagarsari, Parung, Kabupaten Bogor, Jawa Barat 16330",-,Kumala Lebakwangi,Bogor
71,Dealer,Wuling Lubuklinggau,"Jl. Sultan Mahmud Badaruddin II No. 6-9, RT 06, Kel. Tanah Priuk, Kec. Lubuk Linggau Selatan II, Lubuklinggau, Sumatera Selatan 31626",0816355017,Maju Motor Lubuklinggau,Lubuklinggau
64,Dealer,Wuling Madiun,"Jl. Jendral Urip Sumoharjo No.66A, Manguharjo, Kec. Manguharjo, Kota Madiun, Jawa Timur 63127",(0351) 4472613,Prima Madiun,Madiun
38,Dealer,Wuling Magelang,"Jl. Mayjen Bambang Soegeng No. 7 Magelang, Jawa Tengah 56172",(0293) 3219700,AJM Magelang,Magelang
44,Dealer,Wuling Makassar,"JL.A. Pettarani / 98 B, Makassar, Sulawesi Selatan 90222",(0411) 422999,Kumala Makassar,Makassar
58,Dealer,Wuling Malang,"JL.Letjen Sutoyo 6, Malang, Jawa Timur 65141",(0341) 482000,Perdana Malang,Malang
53,Dealer,Wuling Mamuju,"Jl. Jend. Sudirman No. 38, Mamuju, Sulawesi Barat 91512",(0426) 233208,Kumala Mamuju,Mamuju
45,Dealer,Wuling Manado Malalayang,"Jl. Wolter Monginsidi Komp RSUP Prof. Dr. R, Kandou Lingkungan I , Malalayang, Kota Manado, Sulawesi Utara 95163",(0431) 7293355,Kumala Manado Malalayang,Manado
45,Dealer,Wuling Manado Ring Road,"Jl. Ring Road, Ruko Business 8 No.1, Taas, Kec. Wanea, Manado, Sulawesi Utara 95115.",(0431) 836448,Kumala Manado Ring Road,Manado
109,Dealer,Wuling Maros,"Jl. Poros Makassar - Maros, Komplek ruko no. 189, Bontoa, Kec. Mandai, Kab. Maros, Sulawesi Selatan 90552",(0411) 4834313,Kumala Maros,Maros
72,Dealer,Wuling Mataram,"Jl. TGH. Faesal No.107, Turida, Kec. Sandubaya, Kota Mataram, Nusa Tenggara Barat 83361",(0370) 7842873,Maju Motor Mataram,Mataram
1,Dealer,Wuling Medan Adam Malik,"Jl. H. Adam Malik No. 48, Kel. Silalas, Kec. Medan Barat, Kota Medan, Sumatera Utara 20114",(061) 66934888,Arista Medan Adam Malik,Medan
1,Dealer,Wuling Medan Cemara,"Jl. Cemara No. 200, Pulo Brayan Bengkel, Kec. Medan Timur, Kota Medan, Sumatera Utara 20239",(061) 80082222,Arista Medan Cemara,Medan
1,Dealer,Wuling Medan Ring Road,"Jl. Ring Road Medan, Ruko Mega Bisnis Center Blok A1 No 288-289, Kel Tanjung Rejo, Kec Medan Sungal, Medan, Sumatera Utara 20122",(061) 80021308,Arista Medan Ring Road,Medan
1,Dealer,Wuling Medan SM Raja,"Jl. SM Raja, Sitirejo II, Medan Amplas, Medan, Sumatera Utara 20217",(061) 42777777,Arista Medan SM Raja,Medan
97,Dealer,Wuling Minahasa Utara,"Jl. Raya Manado-Bitung, RT/001 RW/020 Kelurahan Airmadidi Atas, Kec. Airmadidi, Kab. Minahasa Utara, Sulawesi Utara 95371",(0431) 7006880,Kumala Minahasa Utara,North Minahasa
60,Dealer,Wuling Mojokerto,"Jl. Raya Bypass No. 45, Jokodayo, Jabon, Kec. Mojoanyar, Kabupaten Mojokerto, Jawa Timur 61317",(0321) 5885555,Prima Mojokerto,Mojokerto
27,Dealer,Wuling P. Jayakarta,"Jl. Pangeran Jayakarta No. 33, Pinangsia, Taman Sari, Jakarta Barat 10730",(021) 22682888,Arista P. Jayakarta,West Jakarta
68,Dealer,Wuling Padang,"Jl. Prof Dr. Hamka No. 137, Kota Padang, Sumatera Barat 25586",0816355003 / 0751-8972211,Maju Motor Padang,Padang
21,Dealer,Wuling Palangkaraya,"Jl. Cilik Riwut, Kel. Bukit Tunggal, Kec. Jekan Raya, Palangkaraya, Kalimantan Tengah 73112",(0536) 4269999,Arista Palangkaraya,Palangkaraya
67,Dealer,Wuling Palembang,"Jl. Soekarno Hatta No. 999, Palembang, Sumatera Selatan 30131",0816355001 / 0711 5560876,Maju Motor Palembang,Palembang
67,Dealer,Wuling Palembang Simpang Polda,"Jl. Demang Lebar Daun RT. 025 RW.007 Kel. 20 Ilir D IV, Kec. Ilir Timur I, Palembang 30128",(0711) 5735000,Maju Motor Palembang Simpang Polda,Palembang
52,Dealer,Wuling Palopo,"Jl. Jend. Sudirman No. 189, Palopo, Sulawesi Selatan 91923",(0471) 3206680,Kumala Palopo,Palopo
47,Dealer,Wuling Palu,"Jl. Jenderal Basuki Rahmat No. 62, Palu, Sulawesi Tengah 94111",(0451) 8202000,Kumala Palu,Palu
55,Dealer,Wuling Parepare,"Jl. Bau Massepe No.241-253, Cappa Galung, Kec. Bacukiki Bar, Kota Parepare, Sulawesi Selatan 91122",(0421) 2917768,Kumala Parepare,Parepare
63,Dealer,Wuling Pasuruan,"Jl. Veteran No. 9, Pasuruan, Jawa Timur 67129",(0343) 4505333,Perdana Pasuruan,Pasuruan
92,Dealer,Wuling Pati,"Jl. Pemuda No.288, Cengkok, Kalidoro, Kec. Pati, Kabupaten Pati, Jawa Tengah 59117",(0295) 4101415,AJM Pati,Pati
40,Dealer,Wuling Pekalongan,"Jl. KH Mansyur No. 162, Pekalongan Jawa Tengah 51111",(0285) 420555,AJM Pekalongan,Pekalongan
2,Dealer,Wuling Pekanbaru,"Jl. Jenderal Sudirman No. 228, Tangkerang Tengah , Marpoyan Damai, Pekanbaru, Riau 28125",(0761) 39922,Arista Pekanbaru,Pekanbaru
2,Dealer,Wuling Pekanbaru SM Amin,"Jl. SM Amin No. 168-170, Kel. Labuhan Batu Barat, Kec. Payung Sekaki, Pekanbaru, Riau 28292",082173349334,Arista Pekanbaru SM Amin,Pekanbaru
101,Dealer,Wuling Pematang Siantar,"Jl. Sangnawuluh, Ruko Mega Land Blok A, Siantar Timur, Kota Pematang Siantar, Sumatera Utara 21151",(0622) 7251610,Arista Pematang Siantar,Pematang Siantar
17,Dealer,Wuling Pluit,Jl. Pluit Permai No. 21 Kel. Pluit Kec. Penjaringan Jakarta Utara – 14450,(021) 22665555,Arista Pluit,North Jakarta
10,Dealer,Wuling Pondok Gede,"Jl. Raya Pondok Gede No. 49, Lubang Buaya, Cipayung, Jakarta Timur 13810",(021)22825566 / 0816355009,Maju Motor Pondok Gede,East Jakarta
16,Dealer,Wuling Pontianak,"Jl. Jenderal Ahmad Yani 2 (Arteri Supadio) No. 17 – 19. RT 006RW 001 Desa Sungai Raya Kec. Sungai Raya Kab. Kubu Raya, Pontianak, Kalimantan Barat 78117",(0561) 6710100,Arista Pontianak,Pontianak
102,Dealer,Wuling Probolinggo,"Jl. Panglima Sudirman No.378 Kota Probolinggo, Jawa Timur 67215",(0335) 422168,Arista Probolinggo,Probolinggo
32,Dealer,Wuling Purwakarta,"Jl. Veteran No. 339 A RT/05 RW/05, Kel. Ciseureuh, Kec. Purwakarta, Kab. Purwakarta, Jawa Barat 41118",(0264) 8225555,Arista Purwakarta,Purwakarta
36,Dealer,Wuling Purwokerto,"Jl. Soepardjo Rustam No. 78 Pritgantil Sokaraja, Kab. Banyumas, Jawa Tengah 53181",(0281) 6446008,AJM Purwokerto,Purwokerto
42,Dealer,Wuling Purworejo,"Jl. Brigjen Katamso No. 73, RW 02, Pangenrejo, Kec. Purworejo, Kab. Purworejo, Jawa Tengah 54114",(0275) 2972851,AJM Purworejo,Purworejo
6,Dealer,Wuling Rancaekek,"Jl. Rancaekek Km.20 Bunderan ABC, Kel. Cipacing, Rancaekek, Kab. Bandung, Jawa Barat 45363",(022) 87707777,Arista Rancaekek,Bandung
108,Dealer,Wuling Rantau Prapat,"Jl. SM. Raja No. 67, Bakaran Batu, Rantau Selatan, Kabupaten Labuhan Batu, Sumatera Utara 21418",(0624) 325236,Arista Rantau Prapat,Rantau Prapat
39,Dealer,Wuling Salatiga,"Jl. Jend. Sudirman 345 A, Salatiga, Jawa Tengah 50732",(0298) 313700,AJM Salatiga,Salatiga
19,Dealer,Wuling Samarinda,"Jl. A. Wahab Syahranie, Air Hitam, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75124",-,Arista Samarinda,Samarinda
98,Dealer,Wuling Sampit,"Jl. Jend. Sudirman Km. 0,5, Kec. Ketapang, Kota Sampit, Kalimantan Tengah 74312",085393373997,Arista Sampit,Sampit
34,Dealer,Wuling Semarang,"Jl. Raden Patah 237 Semarang, Jawa Tengah 50227",(024) 86570727,AJM Semarang,Semarang
34,Dealer,Wuling Semarang Srondol,"Jl. Setiabudi No. 281, Srondol Wetan, Banyumanik, Kota Semarang, Jawa Tengah 50263",(024) 76406859,AJM Semarang Srondol,Semarang
34,Dealer,Wuling Semarang Sudirman,"Jl. Jenderal Sudirman No. 299, Semarang, Jawa Tengah 50149",(024) 7621991,AJM Semarang Sudirman,Semarang
5,Dealer,Wuling Senayan,"Jl. Asia Afrika No. 17 RT.001 RW.003 Kel. Gelora, Kec. Tanah Abang, Jakarta Pusat 10270",(021) 252 3108,Maju Motor Senayan,Central Jakarta
20,Dealer,Wuling Serang,"Jl. Raya Serang Cilegon KM. 3 No. 6, Drangong Taktakan, Serang , Banten 42112",(0254) 7918888,Arista Serang,Serang
33,Dealer,Wuling Sidoarjo,"JL.Ahmad Yani (Raya Sruni) No. 101 Gedangan Sidoarjo, Jawa Timur 61254",(031) 8912250,Perdana Sidoarjo,Sidoarjo
33,Dealer,Wuling Sidoarjo Pahlawan,"Jl. Pahlawan No.14, Kwadengan Barat, Lemahputro, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61213",(031) 99717777,Arista Sidoarjo Pahlawan,Sidoarjo
35,Dealer,Wuling Solo,"Jl. Raya Solo-Yogyakarta Km. 8 Pabelan Sukoharjo, Jawa Tengah 57163",(0271) 712307,AJM Solo,Solo
35,Dealer,Wuling Solo Kleco,"Jl. Slamet Riyadi No.630, Karangasem, Laweyan, Surakarta, Jawa Tengah 57145",(0271) 724105,AJM Solo Kleco,Solo
31,Dealer,Wuling Sukabumi,"Jl. KH Ahmad Sanusi No. 133, Kel. Sukakarya, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43135",(0266) 6228888,Arista Sukabumi,Sukabumi
8,Dealer,Wuling Summarecon Bekasi,"Kawasan Automotive Exhibition Center, Jl. Boulevard Selatan Blok VA No.1-2, Summarecon Bekasi, Bekasi, Jawa Barat 17143",(021) 89452222,Arista Summarecon Bekasi,Bekasi
17,Dealer,Wuling Sunter,"Kompleks Sunter Garden blok D1 kav 12-13 no 8-9, Jl. Danau Sunter Utara, RT / RW : 005, RW.18, Sunter Agung, Jakarta Utara 14350",(021) 22657777,Arista Sunter,North Jakarta
15,Dealer,Wuling Surabaya Wiyung,"Jl. Raya Menganti No.102, Jajar Tunggal, Wiyung, Surabaya, Jawa Timur 60229",(031) 994 28 0001,Maju Motor Surabaya Wiyung,Surabaya
73,Dealer,Wuling Tabanan,"Jl. Ahmad Yani No. 14 Abiantuwung Kediri Tabanan, Bali 82122",(0361) 8311707,Maju Motor Tabanan,Tabanan
8,Dealer,Wuling Tambun,"Jl. Raya Teuku Umar No.302, Tambun, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510",-,Arista Tambun,Bekasi
112,Dealer,Wuling Tanjung Pinang,"Jl. WR Supratman No. 903 RT.001/RW.001, Kel. Air Raja, Kec. Tanjung Pinang Timur, Kota Tanjung Pinang, Kepulauan Riau 29123",(0771) 4449851,Maju Motor Tanjung Pinang,Tanjung Pinang
28,Dealer,Wuling Tasikmalaya,"Jl. HZ.Mustofa, Kel. Kahuripan, Kec. Tawang, Kota Tasikmalaya, Jawa Barat 46115",(0265) 7520000,Arista Tasikmalaya,Tasikmalaya
41,Dealer,Wuling Tegal,"Jl. Yos Sudarso 20, Ruko Nirmala 19, Tegal, Jawa Tengah 52111",(0283) 4534050,AJM Tegal,Tegal
57,Dealer,Wuling Ternate,"Jl. Raya Mangga Dua RT/007 RW/003 Mangga Dua, Ternate, Maluku Utara 97734",(0921) 6203050,Kumala Ternate,Ternate
48,Dealer,Wuling Tomohon,"Jl. Raya Tomohon, Kel. Kakaskasen, Kec. Tomohon Utara, Sulawesi Utara 95418",(0431) 3155530,Kumala Tomohon,Tomohon
44,Dealer,Wuling TSM Makassar,"Trans Studio Mall Makassar, Jl. HM. Daeng Patompo, Metro, Tanjung Bunga, Kota Makassar, Sulawesi Selatan 90224",(0411) 8117068,Kumala TSM Makassar,Makassar
110,Dealer,Wuling Tuban,"Jl. Teuku Umar 29, Kel. Latsari, Kabupaten Tuban, Jawa Timur 62314",(0356) 8830000,BLESS Tuban,Tuban
62,Dealer,Wuling Tulungagung,"Jl. Pahlawan No. 9, Kedungwaru, Kec. Tulungagung, Kab. Tulungagung, Jawa Timur 66229",(0355) 7621821,Prima Tulungagung,Tulungagung
15,Dealer,Wuling Tunjungan,"Jl. Tunjungan No. 50, Genteng, Kota Surabaya, Jawa Timur, 60275",(031) 5351609,Arista Tunjungan,Surabaya
37,Dealer,Wuling Yogyakarta,Jl. Ringroad Utara No. 67 Yogyakarta 55281,(0274) 2803836,AJM Yogyakarta,Yogyakarta
37,Dealer,Wuling Yogyakarta Mlati,"Jl. Magelang Km 7.5, Mlati, Sleman, Yogyakarta 55285",(0274) 2880988,AJM Yogyakarta Mlati,Yogyakarta
27,Parts Shop,CV Petra Sejati,"Mall Taman Palem, Blok B/56 Lantai 2, Jl. Kamal Raya Outer Ring Road Cengkareng, Jakarta Barat",-,CV Petra Sejati,West Jakarta
5,Parts Shop,CV Sumber Jaya Motor,"Gedung Muzatech Jl. Sukoharjo Wiryopranoto No. 30-37, Jakarta Pusat",-,CV Sumber Jaya Motor,Central Jakarta
23,Parts Shop,Korea Timorer Motors,Jl WR. Supratman no. 3 Kp. Utan RT01/03 Tangerang Selatan,-,Korea Timorer Motors,South Tangerang
65,Parts Shop,PT Oto Citra Sentosa,Jl. Palmerah Barat No. 32 A,(021) 53653222/666,PT Oto Citra Sentosa,South Jakarta
